Canton,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07
Neuchâtel,6.79,8.48,11.87,15.27,15.27,15.27,15.83,15.83,15.83,12.44,12.44,12.44,13.01,14.14,13.57,11.87,12.44,11.87,15.27,16.96,18.66,17.53,17.53,19.23,20.92,18.09,17.53,19.79,26.01,27.71,32.23,31.67,41.84,42.97,39.58,37.32,37.89,34.49,33.36,24.88,27.14,28.27,27.71,28.27,30.53,31.67,33.36,33.93,31.1,32.8,33.36,34.49,45.24,46.93,43.54,51.46,69.55,75.77,68.42
Nidwalden,4.63,4.63,2.31,2.31,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,4.63,4.63,4.63,4.63,4.63,4.63,4.63,2.31,9.25,9.25,11.57,11.57,11.57,9.25,9.25,2.31,4.63,2.31,2.31,2.31,2.31,2.31,4.63,2.31,2.31,4.63,4.63,6.94,6.94,6.94,9.25,9.25,9.25,9.25,9.25,13.88,20.82,23.14,27.76,32.39,37.02,57.84,67.09
Obwalden,7.93,2.64,2.64,2.64,2.64,2.64,2.64,0.0,5.29,10.57,13.21,15.86,15.86,15.86,15.86,13.21,15.86,13.21,13.21,13.21,13.21,15.86,13.21,5.29,5.29,2.64,2.64,2.64,0.0,0.0,0.0,2.64,2.64,2.64,2.64,2.64,2.64,5.29,5.29,5.29,5.29,5.29,15.86,21.14,21.14,23.78,23.78,23.78,23.78,18.5,15.86,15.86,10.57,13.21,13.21,13.21,15.86,26.43,58.14
Schaffhausen,19.51,18.29,19.51,18.29,19.51,19.51,19.51,24.39,23.17,14.64,15.86,10.98,10.98,10.98,4.88,4.88,3.66,2.44,2.44,2.44,2.44,3.66,3.66,4.88,4.88,6.1,6.1,6.1,4.88,7.32,10.98,12.2,12.2,12.2,12.2,10.98,7.32,3.66,6.1,6.1,6.1,6.1,9.76,9.76,10.98,8.54,7.32,7.32,7.32,9.76,9.76,12.2,18.29,21.95,21.95,21.95,24.39,28.05,30.49
Schwyz,8.17,11.94,11.31,9.42,10.05,11.31,11.31,13.19,7.54,13.82,13.19,16.96,15.08,15.08,15.71,21.99,17.59,20.1,15.71,15.71,15.71,16.34,10.68,8.8,6.28,7.54,9.42,9.42,11.31,12.57,11.94,15.08,17.59,16.96,16.96,16.96,15.71,18.22,16.34,12.57,10.68,10.68,10.05,9.42,9.42,12.57,13.19,14.45,14.45,11.94,13.82,17.59,18.22,23.25,30.79,30.79,45.24,64.71,81.68
Solothurn,8.42,9.88,10.62,16.11,18.3,18.3,18.3,20.13,22.69,22.69,18.67,16.47,16.47,16.47,13.91,9.88,9.15,9.52,16.11,16.11,16.11,18.67,18.3,19.4,19.03,12.45,12.45,12.45,10.62,12.08,8.78,7.69,8.42,8.42,8.42,8.78,8.78,14.28,16.11,17.57,17.57,17.57,20.13,20.86,16.47,18.3,19.77,19.77,19.77,18.67,18.3,19.77,19.03,17.2,17.2,17.2,20.13,20.13,25.62
St. Gallen,11.62,12.61,13.39,13.0,13.98,13.98,16.55,14.38,15.76,17.33,17.73,15.36,15.36,14.18,12.61,12.41,10.44,9.26,9.26,9.26,8.47,8.67,7.48,7.88,8.86,8.86,11.23,9.85,11.62,13.98,12.02,16.55,16.55,14.18,19.5,19.7,19.7,23.64,22.85,22.85,22.85,25.01,26.0,25.8,24.42,20.29,20.29,20.29,15.95,13.59,13.98,17.73,18.51,18.51,18.51,30.53,36.44,46.68,40.38
Thurgau,11.21,11.57,12.3,14.83,15.55,13.74,13.02,11.57,15.19,14.11,11.94,12.3,11.57,10.13,10.49,7.96,7.6,6.15,6.87,7.6,7.23,5.79,5.43,5.43,7.23,5.43,4.7,4.7,5.79,8.68,10.49,13.02,15.19,17.0,17.36,17.36,19.89,18.45,18.45,19.53,18.09,17.72,17.36,10.85,12.3,9.04,6.87,7.23,9.04,9.4,11.57,12.66,13.74,16.64,19.89,20.62,22.79,27.85,24.6
Ticino,3.11,4.53,4.25,4.81,4.81,4.81,4.81,4.81,5.09,7.36,8.21,9.62,9.62,9.62,11.89,12.17,10.47,11.04,9.34,9.34,9.34,8.21,6.79,7.08,5.66,6.51,6.51,6.51,5.66,6.23,5.38,5.66,5.94,5.94,5.94,8.21,7.08,8.21,9.34,8.77,8.77,8.77,7.92,8.77,8.77,7.08,7.36,7.36,7.36,5.38,5.38,5.38,6.23,7.64,7.64,7.64,12.74,16.7,26.04
Uri,0.0,5.49,8.23,10.98,16.47,16.47,16.47,24.7,21.96,24.7,21.96,16.47,16.47,16.47,16.47,19.21,19.21,19.21,21.96,21.96,21.96,13.72,8.23,2.74,2.74,0.0,0.0,0.0,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,5.49,5.49,5.49,5.49,5.49,5.49,2.74,2.74,2.74,5.49,13.72,13.72,13.72,27.45,24.7,63.13
Valais,12.79,12.79,13.96,14.25,14.54,15.12,15.7,15.12,15.7,14.54,14.54,17.44,18.9,18.32,20.06,20.93,23.26,23.55,22.1,19.48,18.61,15.7,15.99,15.99,18.61,18.32,20.35,20.93,21.81,20.64,19.19,17.73,16.86,17.44,18.9,21.81,21.81,26.17,29.07,29.95,28.2,27.91,27.04,29.36,27.91,24.42,22.68,22.97,22.39,23.84,24.13,25.0,28.49,34.02,36.63,40.99,38.67,33.14,27.33
Vaud,15.02,16.39,17.02,19.52,19.77,20.9,22.52,23.65,25.78,28.78,33.41,38.29,40.79,42.3,46.55,49.55,51.68,51.68,53.81,55.81,57.81,60.81,64.57,68.45,73.95,80.96,85.47,87.09,90.85,93.47,99.61,107.11,112.24,111.62,116.87,117.88,123.26,122.88,122.26,114.5,113.0,108.24,103.36,100.23,97.48,85.84,81.84,78.21,73.83,71.7,65.57,60.44,63.07,63.07,68.57,75.83,76.58,65.82,55.93
Zug,7.1,7.1,8.67,10.25,11.83,11.83,11.83,10.25,9.46,9.46,9.46,8.67,8.67,8.67,14.98,16.56,16.56,15.77,16.56,16.56,16.56,11.83,11.83,11.04,15.77,21.29,21.29,21.29,22.08,24.44,25.23,21.29,16.56,16.56,16.56,21.29,18.92,18.13,17.35,17.35,17.35,17.35,9.46,7.1,11.04,11.04,11.83,11.83,11.83,12.61,12.61,14.19,18.13,16.56,16.56,16.56,41.79,60.71,74.9
Zürich,15.25,18.28,18.34,19.72,21.57,22.88,23.73,24.06,24.26,25.38,26.69,28.21,27.09,27.88,27.09,25.97,29.13,30.44,30.77,32.02,32.81,32.02,33.2,31.49,29.92,30.44,31.43,30.7,32.22,33.99,32.02,32.87,32.35,32.22,32.55,30.97,28.07,28.21,28.21,27.75,25.58,26.04,27.48,27.02,26.83,25.18,24.2,26.36,24.92,23.47,24.59,29.52,31.95,36.29,37.87,48.92,50.43,56.94,60.09
